REFERENCE CODE,FI_NAME_THAI,FI_NAME_ENGLISH,OPEN_DATE,
758,บริษัท บริหารสินทรัพย์ เอ็กซ์สปริง เอ เอ็ม ซี จำกัด,XSPRING AMC ASSET MANAGEMENT COMPANY LIMITED,25590422,
759,บริษัทบริหารสินทรัพย์ ฮาร์โมนิช จำกัด,"HARMONISCH ASSET MANAGEMENT CO.,LTD.",25590523,
760,บริษัทบริหารสินทรัพย์ คอลเลคเชียส จำกัด,"COLLECTIUS ASSET MANAGEMENT CO., LTD.",25600524,
761,บริษัทบริหารสินทรัพย์ ธนทวี จำกัด,THANATAWEE ASSET MANAGEMENT COMPANY,25591025,
762,บริษัทบริหารสินทรัพย์ ทีซีซี จำกัด,TCC ASSET MANAGEMENT COMPANY LIMITED,25600725,
763,บริษัทบริหารสินทรัพย์ ธนาคารอิสลามแห่งประเทศไทย จำกัด,ISLAMIC BANK ASSET MANAGEMENT COMPANY LIMITED,25600629,
764,บริษัทบริหารสินทรัพย์ ไวร์เลส จำกัด,WIRELESS ASSET MANAGEMENT COMPANY LIMITED,25600905,
765,บริษัทบริหารสินทรัพย์ ทวีทรัพย์ จำกัด,TAWEESUP ASSET MANAGEMENT COMPANY LIMITED,25601115,
766,บริษัทบริหารสินทรัพย์ เอ็กซ์คลูซีฟ,"EXCLUSIVE ASSET MANAGEMENT CO,LTD.",25610502,
767,บริษัทบริหารสินทรัพย์ ไนน์พลัส จำกัด,"NINE PLUS ASSET MANAGEMENT CO.,LTD.",25610123,
768,บริษัทบริหารสินทรัพย์ เจ.อี.ดี.ไอ (กรุงเทพ) จำกัด,"J.E.D.I. (BANGKOK) CO.,LTD.",25610221,
770,บริษัทบริหารสินทรัพย์ ที.ที. จำกัด,MANAGEMENT ASSET T.T. COMPANY LIMITED,25610615,
771,บริษัทบริหารสินทรัพย์ ไพร์มโซน จำกัด,"PRIME ZONE ASSET MANAGEMENT CO.,LTD",25610724,
772,บริษัทบริหารสินทรัพย์ ไมคอร์เกน จำกัด,"MYCOREGAIN ASSET MANAGEMENT CO.,LTD.",25611115,
773,บริษัทบริหารสินทรัพย์ รัชคาร จำกัด,RACHAKARN ASSET MANAGEMENT COMPANY,25611214,
774,บริษัทบริหารสินทรัพย์ พหลโยธิน,PHAHONYOTHIN ASSET MANAGEMENT COMPANY LIMITED,25611226,
775,บริษัทบริหารสินทรัพย์ ซีซีพีเอ็น พร็อพเพอร์ตี้ จำกัด,"CCPN PROPERTY ASSET MANAGEMENT CO.,LTD",25620301,
777,บริษัทบริหารสินทรัพย์ เพิร์ล จำกัด,"PEARL ASSET MANAGEMENT CO., LTD.",25620305,
778,บริษัทบริหารสินทรัพย์ สุวรรณภูมิ จำกัด,SUVARNAPHUMI ASSET MANAGEMENT COMPANY LIMITED,25620329,
779,บริษัท บริหารสินทรัพย์ พี.บี. จำกัด,P.B. ASSET MANAGEMENT,25630212,
780,บริษัท บริหารสินทรัพย์ ออกซิเจน จำกัด,"OXYGEN ASSET MANAGEMENT CO.,LTD.",25630617,
